codigoDistrito,provincia,canton,distrito,nombre_actual,sugerencia,correccion_final,clasificacion,evidencia
50103,Guanacaste,Liberia,Mayorga,Nueva Zelaa,Nueva Zelanda,,RECONSTRUCCION_SEGURA,ZELAA->ZELANDA confirmado x1 en distrito 60701
50104,Guanacaste,Liberia,Nacascolo,Haciea Horizontes,Hacienda Horizontes,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50104,Guanacaste,Liberia,Nacascolo,Haciea Monte Galán,Hacienda Monte Galán,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50104,Guanacaste,Liberia,Nacascolo,Haciea Santo Tomas,Hacienda Santo Tomas,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50201,Guanacaste,Nicoya,Nicoya,Cerro Redoo,Cerro Redondo,,RECONSTRUCCION_SEGURA,REDOO->REDONDO confirmado x5 en distrito 10603
50202,Guanacaste,Nicoya,Mansión,Sitio Grae,Sitio Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
50203,Guanacaste,Nicoya,San Antonio,Tamario,Tamarindo,,RECONSTRUCCION_SEGURA,TAMARIO->TAMARINDO confirmado x8 en distrito 20111
50205,Guanacaste,Nicoya,Sámara,Bajo Escoido,Bajo Escondido,,RECONSTRUCCION_SEGURA,ESCOIDO->ESCONDIDO confirmado x17 en distrito 10701
50309,Guanacaste,Santa Cruz,Tamarindo,Haciea Pinilla,Hacienda Pinilla,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50401,Guanacaste,Bagaces,Bagaces,Haciea Mojica,Hacienda Mojica,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50401,Guanacaste,Bagaces,Bagaces,Sitio Chagüite Grae,Sitio Chagüite Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
50402,Guanacaste,Bagaces,La Fortuna,Haciea Nispero,Hacienda Nispero,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50501,Guanacaste,Carrillo,Filadelfia,Haciea El Viejo,Hacienda El Viejo,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50602,Guanacaste,Cañas,Palmira,Sitio Quebrada Hoa,Sitio Quebrada Honda,,RECONSTRUCCION_SEGURA,HOA->HONDA confirmado x11 en distrito 10307
50704,Guanacaste,Abangares,Colorado,Almeros,Almendros,,RECONSTRUCCION_SEGURA,ALMEROS->ALMENDROS confirmado x8 en distrito 11305
51003,Guanacaste,La Cruz,La Garita,San Fernao,San Fernando,,RECONSTRUCCION_SEGURA,FERNAO->FERNANDO confirmado x9 en distrito 10801
51004,Guanacaste,La Cruz,Santa Elena,Sitio El Escoido,Sitio El Escondido,,RECONSTRUCCION_SEGURA,ESCOIDO->ESCONDIDO confirmado x17 en distrito 10701
51004,Guanacaste,La Cruz,Santa Elena,Sitio Potrero Grae,Sitio Potrero Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
60104,Puntarenas,Puntarenas,Lepanto,Cerro Iio,Cerro Indio,,RECONSTRUCCION_SEGURA,IIO->INDIO confirmado x4 en distrito 11105
60107,Puntarenas,Puntarenas,Guacimal,Alto Méez,Alto Méndez,,RECONSTRUCCION_SEGURA,MEEZ->MENDEZ confirmado x4 en distrito 10106
60107,Puntarenas,Puntarenas,Guacimal,Altos Fernáez,Altos Fernández,,RECONSTRUCCION_SEGURA,FERNAEZ->FERNANDEZ confirmado x1 en distrito 20207
60108,Puntarenas,Puntarenas,Barranca,Almeros,Almendros,,RECONSTRUCCION_SEGURA,ALMEROS->ALMENDROS confirmado x8 en distrito 11305
60108,Puntarenas,Puntarenas,Barranca,Riojalaia 2,Riojalandia 2,,RECONSTRUCCION_SEGURA,RIOJALAIA->RIOJALANDIA confirmado x1 en distrito 60108
60111,Puntarenas,Puntarenas,Cóbano,Bajos de Fernáez,Bajos de Fernández,,RECONSTRUCCION_SEGURA,FERNAEZ->FERNANDEZ confirmado x1 en distrito 20207
60114,Puntarenas,Puntarenas,Acapulco,Rancho Grae,Rancho Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
60115,Puntarenas,Puntarenas,El Roble,Liavista,Lindavista,,RECONSTRUCCION_SEGURA,LIAVISTA->LINDAVISTA confirmado x1 en distrito 70301
60206,Puntarenas,Esparza,Caldera,Haciea La Moncha,Hacienda La Moncha,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
60206,Puntarenas,Esparza,Caldera,Haciea Mata de Guinea,Hacienda Mata de Guinea,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
60206,Puntarenas,Esparza,Caldera,Haciea Playa Lia,Hacienda Playa Linda,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201; LIA->LINDA confirmado x41 en distrito 10105
60206,Puntarenas,Esparza,Caldera,Haciea Salinas,Hacienda Salinas,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
60206,Puntarenas,Esparza,Caldera,Quebrada Hoa,Quebrada Honda,,RECONSTRUCCION_SEGURA,HOA->HONDA confirmado x11 en distrito 10307
60302,Puntarenas,Buenos Aires,Volcán,Río Grae,Río Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
60303,Puntarenas,Buenos Aires,Potrero Grande,San Arés (Las Vueltas de San Arés),San Andrés (Las Vueltas de San Arés),,RECONSTRUCCION_SEGURA,ARES->ANDRES confirmado x10 en distrito 10201
60303,Puntarenas,Buenos Aires,Potrero Grande,Tamario,Tamarindo,,RECONSTRUCCION_SEGURA,TAMARIO->TAMARINDO confirmado x8 en distrito 20111
60306,Puntarenas,Buenos Aires,Colinas,Quebrada Hoa,Quebrada Honda,,RECONSTRUCCION_SEGURA,HOA->HONDA confirmado x11 en distrito 10307
60309,Puntarenas,Buenos Aires,Brunka,Llano Grae,Llano Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
60403,Puntarenas,Montes de Oro,San Isidro,Calle El Tamario,Calle El Tamarindo,,RECONSTRUCCION_SEGURA,TAMARIO->TAMARINDO confirmado x8 en distrito 20111
60501,Puntarenas,Osa,Puerto Cortés,Liavista,Lindavista,,RECONSTRUCCION_SEGURA,LIAVISTA->LINDAVISTA confirmado x1 en distrito 70301
60503,Puntarenas,Osa,Sierpe,Puerto Escoido,Puerto Escondido,,RECONSTRUCCION_SEGURA,ESCOIDO->ESCONDIDO confirmado x17 en distrito 10701
60504,Puntarenas,Osa,Bahía Ballena,Quebrada Grae,Quebrada Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
60701,Puntarenas,Golfito,Golfito,Rotoa,Rotonda,,RECONSTRUCCION_SEGURA,ROTOA->ROTONDA confirmado x1 en distrito 20101
60704,Puntarenas,Golfito,Pavón,Quebrada Hoa,Quebrada Honda,,RECONSTRUCCION_SEGURA,HOA->HONDA confirmado x11 en distrito 10307
60801,Puntarenas,Coto Brus,San Vito,Liavista,Lindavista,,RECONSTRUCCION_SEGURA,LIAVISTA->LINDAVISTA confirmado x1 en distrito 70301
61001,Puntarenas,Corredores,Corredor,Bajo Iios,Bajo Indios,,RECONSTRUCCION_SEGURA,IIOS->INDIOS confirmado x1 en distrito 60603
61004,Puntarenas,Corredores,Laurel,María Fernaa,María Fernanda,,RECONSTRUCCION_SEGURA,FERNAA->FERNANDA confirmado x4 en distrito 10601
61201,Puntarenas,Monteverde,Monteverde,Liora,Lindora,,RECONSTRUCCION_SEGURA,LIORA->LINDORA confirmado x4 en distrito 10903
61301,Puntarenas,Puerto Jiménez,Puerto Jiménez,Iepeencia,Independencia,,RECONSTRUCCION_SEGURA,IEPEENCIA->INDEPENDENCIA confirmado x2 en distrito 10801
70101,Limón,Limón,Limón,Juan Pablo Seguo,Juan Pablo Segundo,,RECONSTRUCCION_SEGURA,SEGUO->SEGUNDO confirmado x3 en distrito 20109
70102,Limón,Limón,Valle La Estrella,Paora Oeste,Pandora Oeste,,RECONSTRUCCION_SEGURA,PAORA->PANDORA confirmado x2 en distrito 70102
70201,Limón,Pococí,Guápiles,Almeros,Almendros,,RECONSTRUCCION_SEGURA,ALMEROS->ALMENDROS confirmado x8 en distrito 11305
70201,Limón,Pococí,Guápiles,Valle Escoido,Valle Escondido,,RECONSTRUCCION_SEGURA,ESCOIDO->ESCONDIDO confirmado x17 en distrito 10701
70203,Limón,Pococí,Rita,Almeros,Almendros,,RECONSTRUCCION_SEGURA,ALMEROS->ALMENDROS confirmado x8 en distrito 11305
70203,Limón,Pococí,Rita,Iio,Indio,,RECONSTRUCCION_SEGURA,IIO->INDIO confirmado x4 en distrito 11105
70302,Limón,Siquirres,Pacuarito,Haciea Ojo de Agua,Hacienda Ojo de Agua,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
70401,Limón,Talamanca,Bratsi,Huberie (Rancho Grae),Huberie (Rancho Grande),,RECONSTRUCCION_SEGURA,GRAE)->GRANDE) confirmado x1 en distrito 70401
