codigoDistrito,ign_2026_original,nombre_corregido,fuenteNombre
30401,Quebrada Hoa,Quebrada Honda,INEC_LOCALIDADES_2024
30401,Bajo El Iio,Bajo El Indio,INEC_LOCALIDADES_2024
30403,Hacieita,Haciendita,REVISION_MANUAL
30403,Almeros,Almendros,REVISION_MANUAL
30501,Hacieita,Haciendita,REVISION_MANUAL
30502,Piedra Grae,Piedra Grande,INEC_LOCALIDADES_2024
30502,Las Golorinas,Las Golondrinas,REVISION_MANUAL
30505,Saoval,Sandoval,REVISION_MANUAL
30508,Piedra Redoa,Piedra Redonda,INEC_LOCALIDADES_2024
30509,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
30512,Valle Escoido,Valle Escondido,REVISION_MANUAL
30601,Llano Grae,Llano Grande,INEC_LOCALIDADES_2024
30603,Quebrada Hoa,Quebrada Honda,INEC_LOCALIDADES_2024
30701,José Jesús Méez,José Jesús Méndez,INEC_LOCALIDADES_2024
30701,Cerro Grae,Cerro Grande,REVISION_MANUAL
30702,Dagoberto Méez Carpio,Dagoberto Méndez Carpio,REVISION_MANUAL
30801,Sabana Grae,Sabana Grande,INEC_LOCALIDADES_2024
30801,Haciea Vieja,Hacienda Vieja,INEC_LOCALIDADES_2024
30801,La Haciea,La Hacienda,INEC_LOCALIDADES_2024
30801,Fuación de El Guarco,Fundación de El Guarco,REVISION_MANUAL
30801,Jacaraas,Jacarandas,REVISION_MANUAL
30802,Seeros del Sol,Senderos del Sol,REVISION_MANUAL
40101,San Fernao,San Fernando,INEC_LOCALIDADES_2024
40101,La Iia,La India,INEC_LOCALIDADES_2024
40102,María Fernaa,María Fernanda,INEC_LOCALIDADES_2024
40103,Haciea San Agustin,Hacienda San Agustin,INEC_LOCALIDADES_2024
40104,Lia del Norte,Linda del Norte,REVISION_MANUAL
40105,Haciea Fátima,Hacienda Fátima,REVISION_MANUAL
40204,Haciea Nueva,Hacienda Nueva,INEC_LOCALIDADES_2024
40205,La Roa,La Ronda,INEC_LOCALIDADES_2024
40305,Calle Roa,Calle Ronda,REVISION_MANUAL
40401,Coominio Colonial,Condominio Colonial,REVISION_MANUAL
40403,Samarcaa,Samarcanda,INEC_LOCALIDADES_2024
40501,Puerto Escoido,Puerto Escondido,INEC_LOCALIDADES_2024
40502,Villa del Seero,Villa del Sendero,REVISION_MANUAL
40504,Cerro Redoo,Cerro Redondo,REVISION_MANUAL
40504,Calle Hernáez,Calle Hernández,REVISION_MANUAL
40601,Fuerte Iio,Fuerte Indio,INEC_LOCALIDADES_2024
40602,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
40701,Villa Fernao,Villa Fernando,INEC_LOCALIDADES_2024
40701,Hacieas De La Rivera,Haciendas De La Rivera,INEC_LOCALIDADES_2024
40701,Sa Vicente,San Vicente,REVISION_MANUAL
40701,Vistas de Liora,Vistas de Lindora,REVISION_MANUAL
40702,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
40702,Haciea Belén,Hacienda Belén,INEC_LOCALIDADES_2024
40702,Vista Lia,Vista Linda,REVISION_MANUAL
40703,Calle Lia Vista,Calle Linda Vista,REVISION_MANUAL
40801,Haciea Las Flores,Hacienda Las Flores,INEC_LOCALIDADES_2024
40802,Aeres,Anderes,INEC_LOCALIDADES_2024
